word	Afrikaans	American English	Catalan	Czech	Danish	Dutch	English	Finnish	Gaelic 	German	Greek	Hebrew	Hungarian	Icelandic	Irish	IsiXhosa	Italian	Lebanese Arabic	Lithuanian	Luxembourgish	Malay	Maltese	Persian	Polish	Russian	Serbian	Slovak	South African English	Spanish	Swedish	Turkish	Western Armenian
airplane		3.78	4.15	2.88	3.30	3.95	3.55	1.83	6.57	3.24		2.52	3.52	3.26	3.65	5.50	4.32		4.18	2.77	4.05	4.20	3.90		2.66	4.73	2.78	3.57	3.59	3.17	3.05	2.58
ant	3.22	3.09	3.10	3.35	2.65	2.95	3.17	2.04	8.62	2.81	3.15	2.90	3.67	4.50	5.29	4.54	3.08	2.60	4.25	3.32	4.09	3.77	3.14	3.31	3.22	3.76	2.91	2.78	3.23	2.57	2.85	3.25
apple	2.84	3.04	2.50	2.19	2.09	2.45	2.52	1.67	3.43	1.81	2.75	1.98	2.60	2.61	2.10	3.33	2.20	1.98	2.75	2.25	4.43	3.18	2.62	2.66	2.03	3.30	2.12	2.29	2.77	2.30	2.26	2.17
axe	4.41	5.04	5.40	4.38	3.96	5.00	5.57	3.29	7.43	5.48	5.31	4.94	5.19	5.17	5.70	5.73	4.92	9.33	4.57	4.50	5.35	8.00	5.48	4.69	4.17	5.52	5.33	4.83	5.41	4.70	4.41	
ball	2.59	2.61	2.55	2.31	1.91	1.81	2.03	1.22	3.71	2.00	2.13	1.67	2.19	2.30	2.25	3.28	2.00	1.69	2.61	2.05	3.84	3.00	2.31	2.59	1.76	2.70	2.12	2.19	2.59	1.87	1.97	1.42
balloon		3.65	3.30	2.58	2.57	2.43	2.93	1.89	4.90	2.43		1.86	3.25	3.57	3.16	3.36	2.80		3.39	2.77	4.07	3.19	2.90		3.44	3.21	2.11	2.62	2.82	2.65	2.24	2.33
banana	3.14	3.48	2.95	2.31	2.26	2.45	2.73	1.83	3.62	2.05	2.97	1.62	4.14	3.04	2.95	3.56	2.64	1.88	5.43	2.48	3.97	3.18	3.33	3.06	3.86	3.61	2.55	2.55	2.82	2.30	2.95	1.92
barrel	3.67	5.39	4.30	4.04	3.77	4.00	5.61	4.00	6.29	4.52	4.69	4.65	4.90	4.00	4.26	7.12	4.08	5.00	5.48	4.48	5.57	6.45	5.52	4.66	3.97	5.27	4.76	6.07	5.95	3.91	6.62	
basket	4.05	4.39	4.20	3.31	3.61	3.64	4.04	2.63	4.24	3.43	3.71	3.33	3.57	4.00	4.00	6.59	3.76	3.90	4.46	3.00	4.69	4.00	4.05	3.75	3.47	4.70	3.12	3.44	4.41	3.65	3.89	4.58
battery	4.89	5.00	6.00	5.46	4.35	5.50	5.14	3.29	7.29	4.76	4.66	5.28	5.57	5.39	9.24	6.04	5.20	4.29	7.11	4.50	6.03	5.44	4.57	4.78	3.94	5.73	4.61	5.00	4.91	4.26	4.18	
bear	3.89	3.30	3.35	2.69	3.09	2.73	2.78	2.50	6.10	2.38	3.32	2.57	3.33	4.09	4.40	5.60	3.00	2.95	3.32	3.18	5.26	4.54	3.48	3.44	2.36	3.97	2.67	3.14	3.36	2.48	3.10	2.75
bed	2.68	2.74	2.15	2.35	1.83	1.91	1.99	1.25	3.14	1.81	2.68	1.86	2.52	1.96	1.90	3.48	2.24	2.12	2.32	2.05	6.81	2.58	3.29	2.31	1.81	2.97	1.94	2.33	2.32	1.96	2.08	2.17
bell	4.03	3.48	3.05		3.13	2.73	3.40	1.92	4.95	3.33	3.54	3.14	3.57	3.57	4.65	5.52	3.56	3.00	4.61	3.50	5.22	4.73	3.48	3.52	3.22	4.67	3.48	3.49	4.19	4.00	6.31	2.67
belt	5.06	4.13	4.40	3.88	3.65	4.09	4.22	3.21	9.29	3.95	4.10	4.33	4.29	3.83	4.00	4.88	4.20	5.31	3.50	3.62	5.92	4.46	4.14	3.84	3.51	4.82	4.15	3.68	4.50	4.35	4.33	3.71
bicycle		3.52	3.00	2.92	2.70	7.86	3.66	2.00	4.00	3.19		2.90	3.43	3.04	3.00	4.57	3.20		3.64	3.05	4.54	3.55	3.48		3.17	3.97	3.00	3.48	3.65	3.26	3.33	4.17
bird	2.92	3.17	2.70	2.42	2.17	2.32	2.40	1.38	3.33	2.14	2.84	2.19	3.00	2.39	2.20	4.38	2.64	2.29	2.93	2.41	3.88	3.38	3.05	2.53	2.06	3.36	2.21	2.43	2.68	2.17	1.95	1.96
blackboard	2.92	5.22	3.85	4.62	4.22	4.55	4.76	4.42	5.71	4.00	4.32	4.24	4.71	5.22	4.00	5.88	4.08	3.43	4.18	3.95	5.70	4.44	5.38	4.88	5.28	5.24	5.18	5.15	3.77	3.30	5.95	3.88
bone	3.51	4.00	4.00	3.81	2.04	3.73	4.02	2.79	4.38	4.33	4.00	3.95	4.05	3.65	3.40	4.08	3.64	4.62	4.18	3.27	5.59	5.75	4.10	4.16	3.39	5.42	4.45	3.40	4.27	2.09	4.64	4.29
boot	5.53	3.91	3.85	2.38	2.70	2.91	3.31	2.17	4.19	3.00	3.93	3.71	3.38	2.43	3.74	5.33	4.52	2.31	2.43	3.00	6.62	11.33	4.76	5.66	2.67	4.21	3.27	3.79	3.45	3.39	3.90	
bottle	2.89	3.39	3.30	2.77	3.09	2.41	2.62	1.75	2.90	2.43	3.16	1.62	3.67	3.39	2.60	3.19	2.84	2.36	4.11	2.36	4.00	3.77	5.14	2.97	2.91	4.12	2.21	2.38	3.45	2.74	3.21	2.63
broom	3.54	4.43	3.70	3.50	2.61	3.82	4.29	3.33	4.00	3.19	3.09	2.90	3.52	3.61	2.80	4.64	3.32	3.79	3.46	3.95	4.92	3.65	3.33	3.56	3.67	4.21	3.42	3.24	3.82	4.57	3.28	3.79
brush		3.78	3.65	4.38	3.18	3.55	3.13	1.83	3.48	3.10		3.02	4.29	3.43	3.60	5.04	3.88		4.00	2.89	4.43	4.58	4.67		3.42	3.94	3.78	3.05	3.94	3.91	5.14	
bus	3.81	3.65	4.85	3.23	2.74	3.00	2.92	2.50	3.43	3.10	4.57	2.81	3.52	4.43	2.60	4.96	4.68	3.31	3.93	2.91	4.16	4.93	4.48	3.42	2.75	4.15	3.64	3.48	3.77	2.65	3.28	4.67
