Corpus,InfMorpho,FreqCount,Condition,PreLet,Unit,TotalFreq,UnitFreq,UnitProb,UnitFreqSL,UnitProbSL
Lexique,All Words,Type,No,,s,103791,33225,.3201145,32939,.991392
Lexique,All Words,Type,No,,t,103791,22374,.2155678,21885,.978144
Lexique,All Words,Type,No,,e,103791,21064,.2029463,21038,.998766
Lexique,All Words,Type,No,,r,103791,6347,.0611517,1,.000158
Lexique,All Words,Type,No,,é,103791,4769,.0459481,0,0
Lexique,All Words,Type,No,,a,103791,3965,.0382018,0,0
Lexique,All Words,Type,No,,n,103791,3065,.0295305,0,0
Lexique,All Words,Type,No,,i,103791,2379,.0229211,0,0
Lexique,All Words,Type,No,,z,103791,2237,.0215529,2,.000894
Lexique,All Words,Type,No,,x,103791,971,.0093553,910,.937178
Lexique,All Words,Type,No,,l,103791,787,.0075825,15,.019060
Lexique,All Words,Type,No,,u,103791,587,.0056556,0,0
Lexique,All Words,Type,No,,d,103791,434,.0041815,378,.870968
Lexique,All Words,Type,No,,o,103791,417,.0040177,0,0
Lexique,All Words,Type,No,,f,103791,314,.0030253,2,.006369
Lexique,All Words,Type,No,,m,103791,193,.0018595,0,0
Lexique,All Words,Type,No,,c,103791,147,.0014163,21,.142857
Lexique,All Words,Type,No,,g,103791,119,.0011465,20,.168067
Lexique,All Words,Type,No,,h,103791,96,.0009249,18,.187500
Lexique,All Words,Type,No,,k,103791,87,.0008382,0,0
Lexique,All Words,Type,No,,y,103791,80,.0007708,0,0
Lexique,All Words,Type,No,,p,103791,55,.0005299,14,.254545
Lexique,All Words,Type,No,,b,103791,29,.0002794,4,.137931
Lexique,All Words,Type,No,,ï,103791,13,.0001253,0,0
Lexique,All Words,Type,No,,à,103791,10,.0000963,0,0
Lexique,All Words,Type,No,,ë,103791,8,.0000771,7,.875000
Lexique,All Words,Type,No,,w,103791,7,.0000674,4,.571429
Lexique,All Words,Type,No,,û,103791,3,.0000289,0,0
Lexique,All Words,Type,No,,q,103791,2,.0000193,0,0
Lexique,All Words,Type,No,,ù,103791,2,.0000193,0,0
Lexique,All Words,Type,No,,v,103791,2,.0000193,0,0
Lexique,All Words,Type,No,,â,103791,1,.0000096,0,0
Lexique,All Words,Type,No,,è,103791,1,.0000096,0,0
Lexique,All Words,Type,No,,j,103791,1,.0000096,0,0
Lexique,All Words,Type,Yes,a,i,3740,1797,.4804813,0,0
Lexique,All Words,Type,Yes,a,s,3740,777,.2077540,759,.976834
Lexique,All Words,Type,Yes,a,l,3740,376,.1005348,0,0
Lexique,All Words,Type,Yes,a,u,3740,193,.0516043,0,0
Lexique,All Words,Type,Yes,a,n,3740,189,.0505348,0,0
Lexique,All Words,Type,Yes,a,t,3740,166,.0443850,158,.951807
Lexique,All Words,Type,Yes,a,r,3740,67,.0179144,0,0
Lexique,All Words,Type,Yes,a,c,3740,34,.0090909,2,.058824
Lexique,All Words,Type,Yes,a,m,3740,21,.0056150,0,0
Lexique,All Words,Type,Yes,a,x,3740,19,.0050802,0,0
Lexique,All Words,Type,Yes,a,h,3740,15,.0040107,15,1
Lexique,All Words,Type,Yes,a,k,3740,13,.0034759,0,0
Lexique,All Words,Type,Yes,a,g,3740,10,.0026738,0,0
Lexique,All Words,Type,Yes,a,p,3740,10,.0026738,2,.200000
