Corpus,InfMorpho,FreqCount,WDNoSLE,TypeCont,PhonEnd,OrthCont,Unit,TotalFreq,UnitFreq,UnitProb
Lexique,All Words,Type,ALL,G1,5,aim,#,6,3,.50000000
Lexique,All Words,Type,ALL,G1,5,aim,s,6,3,.50000000
Lexique,All Words,Type,SUB,G1,5,aim,s,3,3,1
Lexique,All Words,Token,ALL,G1,5,aim,#,86.22,83.25,.96555324
Lexique,All Words,Token,ALL,G1,5,aim,s,86.22,2.97,.03444676
Lexique,All Words,Token,SUB,G1,5,aim,s,2.97,2.97,1
Lexique,Uninflected,Type,ALL,G1,5,aim,#,3,3,1
Lexique,Uninflected,Token,ALL,G1,5,aim,#,83.25,83.25,1
Lexique,Inflected,Type,ALL,G1,5,aim,s,3,3,1
Lexique,Inflected,Type,SUB,G1,5,aim,s,3,3,1
Lexique,Inflected,Token,ALL,G1,5,aim,s,2.97,2.97,1
Lexique,Inflected,Token,SUB,G1,5,aim,s,2.97,2.97,1
ManG15,All Words,Type,ALL,G1,5,aim,#,5,3,.60000000
ManG15,All Words,Type,ALL,G1,5,aim,s,5,2,.40000000
ManG15,All Words,Type,SUB,G1,5,aim,s,2,2,1
ManG15,All Words,Token,ALL,G1,5,aim,#,165.79,165.19,.99635491
ManG15,All Words,Token,ALL,G1,5,aim,s,165.79,0.60,.00364509
ManG15,All Words,Token,SUB,G1,5,aim,s,0.60,0.60,1
ManG15,Uninflected,Type,ALL,G1,5,aim,#,3,3,1
ManG15,Uninflected,Token,ALL,G1,5,aim,#,165.19,165.19,1
ManG15,Inflected,Type,ALL,G1,5,aim,s,2,2,1
ManG15,Inflected,Type,SUB,G1,5,aim,s,2,2,1
ManG15,Inflected,Token,ALL,G1,5,aim,s,0.60,0.60,1
ManG15,Inflected,Token,SUB,G1,5,aim,s,0.60,0.60,1
ManG1,All Words,Type,ALL,G1,5,aim,#,2,2,1
ManG1,All Words,Token,ALL,G1,5,aim,#,180.91,180.91,1
