Corpus	InfMorpho	FreqCount	WDNoSLE	TypeCont	PhonEnd	OrthCont	Unit	TotalFreq	UnitFreq	UnitProb
Lexique	All Words	Type	ALL	G1	5	aim	#	6	3	0.5
Lexique	All Words	Type	ALL	G1	5	aim	s	6	3	0.5
Lexique	All Words	Type	SUB	G1	5	aim	s	3	3	1
Lexique	All Words	Token	ALL	G1	5	aim	#	86.22	83.25	0.96555324
Lexique	All Words	Token	ALL	G1	5	aim	s	86.22	2.97	0.03444676
Lexique	All Words	Token	SUB	G1	5	aim	s	2.97	2.97	1
Lexique	Uninflected	Type	ALL	G1	5	aim	#	3	3	1
Lexique	Uninflected	Token	ALL	G1	5	aim	#	83.25	83.25	1
Lexique	Inflected	Type	ALL	G1	5	aim	s	3	3	1
Lexique	Inflected	Type	SUB	G1	5	aim	s	3	3	1
Lexique	Inflected	Token	ALL	G1	5	aim	s	2.97	2.97	1
Lexique	Inflected	Token	SUB	G1	5	aim	s	2.97	2.97	1
ManG15	All Words	Type	ALL	G1	5	aim	#	5	3	0.6
ManG15	All Words	Type	ALL	G1	5	aim	s	5	2	0.4
ManG15	All Words	Type	SUB	G1	5	aim	s	2	2	1
ManG15	All Words	Token	ALL	G1	5	aim	#	165.79	165.19	0.99635491
ManG15	All Words	Token	ALL	G1	5	aim	s	165.79	0.6	0.00364509
ManG15	All Words	Token	SUB	G1	5	aim	s	0.6	0.6	1
ManG15	Uninflected	Type	ALL	G1	5	aim	#	3	3	1
ManG15	Uninflected	Token	ALL	G1	5	aim	#	165.19	165.19	1
ManG15	Inflected	Type	ALL	G1	5	aim	s	2	2	1
ManG15	Inflected	Type	SUB	G1	5	aim	s	2	2	1
ManG15	Inflected	Token	ALL	G1	5	aim	s	0.6	0.6	1
ManG15	Inflected	Token	SUB	G1	5	aim	s	0.6	0.6	1
ManG1	All Words	Type	ALL	G1	5	aim	#	2	2	1
ManG1	All Words	Token	ALL	G1	5	aim	#	180.91	180.91	1
ManG1	Uninflected	Type	ALL	G1	5	aim	#	2	2	1
ManG1	Uninflected	Token	ALL	G1	5	aim	#	180.91	180.91	1
ManG2	All Words	Type	ALL	G1	5	aim	#	3	3	1
ManG2	All Words	Token	ALL	G1	5	aim	#	176.41	176.41	1
ManG2	Uninflected	Type	ALL	G1	5	aim	#	3	3	1
ManG2	Uninflected	Token	ALL	G1	5	aim	#	176.41	176.41	1
ManG35	All Words	Type	ALL	G1	5	aim	#	5	3	0.6
ManG35	All Words	Type	ALL	G1	5	aim	s	5	2	0.4
ManG35	All Words	Type	SUB	G1	5	aim	s	2	2	1
ManG35	All Words	Token	ALL	G1	5	aim	#	158.65	157.65	0.9936688
ManG35	All Words	Token	ALL	G1	5	aim	s	158.65	1	0.0063312
ManG35	All Words	Token	SUB	G1	5	aim	s	1	1	1
ManG35	Uninflected	Type	ALL	G1	5	aim	#	3	3	1
ManG35	Uninflected	Token	ALL	G1	5	aim	#	157.65	157.65	1
ManG35	Inflected	Type	ALL	G1	5	aim	s	2	2	1
ManG35	Inflected	Type	SUB	G1	5	aim	s	2	2	1
ManG35	Inflected	Token	ALL	G1	5	aim	s	1	1	1
ManG35	Inflected	Token	SUB	G1	5	aim	s	1	1	1
Lexique	All Words	Type	ALL	G1	5	ain	#	193	92	0.47668394
Lexique	All Words	Type	ALL	G1	5	ain	s	193	84	0.43523316
Lexique	All Words	Type	ALL	G1	5	ain	t	193	6	0.03108808
Lexique	All Words	Type	ALL	G1	5	ain	ts	193	5	0.02590674
Lexique	All Words	Type	ALL	G1	5	ain	c	193	2	0.01036269
