Corpus	InfMorpho	FreqCount	Phoneme	Position	Unit	TotalFreq	UnitFreq	UnitProb
Lexique	All Words	Type	e	Any	é	79549	35299	0.4437391
Lexique	All Words	Type	e	Any	ai	79549	16217	0.2038618
Lexique	All Words	Type	e	Any	e	79549	14435	0.1814605
Lexique	All Words	Type	e	Any	er	79549	4937	0.0620624
Lexique	All Words	Type	e	Any	è	79549	3302	0.041509
Lexique	All Words	Type	e	Any	ez	79549	2217	0.0278696
Lexique	All Words	Type	e	Any	ê	79549	784	0.0098556
Lexique	All Words	Type	e	Any	et	79549	598	0.0075174
Lexique	All Words	Type	e	Any	a	79549	465	0.0058455
Lexique	All Words	Type	e	Any	ei	79549	353	0.0044375
Lexique	All Words	Type	e	Any	aî	79549	324	0.004073
Lexique	All Words	Type	e	Any	hé	79549	250	0.0031427
Lexique	All Words	Type	e	Any	he	79549	115	0.0014456
Lexique	All Words	Type	e	Any	hai	79549	49	0.000616
Lexique	All Words	Type	e	Any	aie	79549	45	0.0005657
Lexique	All Words	Type	e	Any	ey	79549	25	0.0003143
Lexique	All Words	Type	e	Any	oe	79549	20	0.0002514
Lexique	All Words	Type	e	Any	es	79549	19	0.0002388
Lexique	All Words	Type	e	Any	ay	79549	15	0.0001886
Lexique	All Words	Type	e	Any	ée	79549	11	0.0001383
Lexique	All Words	Type	e	Any	ea	79549	10	0.0001257
Lexique	All Words	Type	e	Any	ed	79549	10	0.0001257
Lexique	All Words	Type	e	Any	ect	79549	9	0.0001131
Lexique	All Words	Type	e	Any	ae	79549	7	0.000088
Lexique	All Words	Type	e	Any	ë	79549	6	0.0000754
Lexique	All Words	Type	e	Any	hè	79549	5	0.0000629
Lexique	All Words	Type	e	Any	hê	79549	5	0.0000629
Lexique	All Words	Type	e	Any	ee	79549	4	0.0000503
Lexique	All Words	Type	e	Any	eh	79549	3	0.0000377
Lexique	All Words	Type	e	Any	ef	79549	2	0.0000251
Lexique	All Words	Type	e	Any	eî	79549	2	0.0000251
Lexique	All Words	Type	e	Any	ep	79549	2	0.0000251
Lexique	All Words	Type	e	Any	ha	79549	2	0.0000251
Lexique	All Words	Type	e	Any	aigh	79549	1	0.0000126
Lexique	All Words	Type	e	Any	est	79549	1	0.0000126
Lexique	All Words	Type	R	Any	r	69185	66666	0.9635904
