Code,Phoneme,?200Words,<200Words,<10Words
i,i,"aussi, pays, scierie, dîner, hiver, naïf","hygiène, jamboree, jeans","steward, scenarii, business, trahît, gentilshommes, cécidomyies"
y,y,"lumière, humeur","sûreté, remuera, eut","eût, uhlan, building, volapük, führer"
u,u,nous,"goût, jouera, bulldog, football, housse, saoul, interviewer","clown, interview, hooligan, loser, août, où, hurrah, blues, più"
e,e or ɛ,"idée, mais, avec, aller, très, assez, être, ballet, rayon, peine, maître, héros","herbe, souhait, gaieté, poney, foetus, lesquels, tramway, créera, pied, steak","respect, reggae, canoë, bohème, hêtre, pedigree, narghileh, clef, sept, reître, hayon, est, straight"
9,ø or œ or ə,"devant, deux","accueil, coeur, club, faisan, heure, girl, jeûne, oeil","maelström, monsieur, breakfast, patchwork, peuhl, yearling"
o,o or ɔ,"encore, autre, nouveau, côte, homme","album, haut, alcool, hôtel","outlaw, football, toast, yacht, bowling, aulne, vosgien, auxquels, oignon, heaume, hall, curaçao, tomahawk, kohl, country, hautbois, capharnaüm"
a,a or ɑ,"alors, grâce, habit","femme, hâte, baptême, voilà","dahlia, down, jeannette, kursaal, maelström, tagliatelle, paonne, house, cronstadt"
5,ɛ̃ or œ̃,"matin, bien, simple, main","plein, symbole, lynx, chacun, vînt, coïncider","faim, hindou, vingtaine, bienheureux, pembina, succincte, parfum, humble, huns"
&,ɔ̃,"monde, ombre","compte, honte, secundo","montgolfière, lumbago, hombre, longtemps"
%,ɑ̃,"dans, entre, temps, jambe","hangar, préhension, enivrer","paon, hampe, sangsue"
p,p,"après, rapport, lampe, absence",appeler,
t,t,"trop, porte, lettre, patte, rythme",menthe,kilowattheure
k,k,"comme, quand, chaque, accord, kilo, écho","rock, cinq, acquis, sikh, grecque, macchabée, coke","nickelé, drakkar, blockhaus, kriegspiel"
b,b,"bras, tombe",abbé,"abhorrer, labbe"
d,d,"déjà, garde","addition, adhésion",bouddhiste
g,g,"grand, guerre, fatigue","aggraver, ghetto, seconde",kugelhof
f,f,"fille, offre, photo","étoffe, strophe, girafe","beefsteak, sulfhydrique, leitmotiv, leitmotive"
s,s,"seul, possible, ciel, nation, classe, place, façon, scène, réponse","quartz, acquiesça","dix, acquiesce, asthme, transhistorique"
S,ʃ,"chose, bouche","short, schéma","fascisme, glockenspiel, fuchsia, flashes, pirojki, esche"
v,v,"vous, avenir",wagon,interviewe
z,z,"visage, église, horizon","déshabiller, douze, jazz","deuxième, business, fathom"
Z,ʒ,"argent, rouge, jamais",rejeter,
x,x,,,azulejos
m,m,"mère, forme, comment",pomme,schtroumpf
n,n,"nuit, année, semaine, personne","bonheur, condamné, automne",
N,ɲ,"poignée, signe",chataîgnier,
G,ŋ,,parking,bingo
l,l,"loin, seulement, village, ville","malheur, sculpture",
R,ʀ,"pour, derrière, pureté","carrefour, rhume, cirrhose","corpsard, marijuana, marihuana, maghzen"
j,j,"mieux, ailleurs, oreille, rayon","travail, cobaye, aïeul, cahier","joaillier, hyène, fjord, pagaïe, llanos"
8,ɥ,suite,huit,
w,w,jouer,"tweed, quaker","whisky, cacahuète, foëne"
ij,ij,"briller, crier, famille","tuyau, riions","marguillier, gentilhomme"
wa,wa,avoir,"douane, adéquat, aboiement, boîte, watt, jouât","moelle, poêle, asseoir, doigté, couenne, hoirie, roy, chihuahua, houari, wharf"
w5,wɛ̃,moins,babouin,shampooing
waj,waj,moyen,gouailleur ,"gouaille, hawaïen, hawaiienne, cancoillotte"
ks,ks,"taxi, action","accent, excellent, luxe","tocsin, exsangue, immixtion, packson, shakespearien, skunks, oxhydrique"
gz,gz,exemple,"exhaler, zigzag",eczéma
tS,tʃ,,"match, sandwich","dolce, patches, putsch, nietzschéen, capuccino, sandwiches, quetsche, borchtch, bintje"
dZ,dʒ,,"adjoint, jeep, budget, manager","bridge, loggia, aggiornamento"
dz,dz,,pizza,"bretzel, pedzouille, pédezouille, rinforzando"
