ortho	freql
a	58.65
a	2926.69
a	1669.39
a capella	0.07
a cappella	0.07
a contrario	0.27
a fortiori	0.88
a giorno	0.27
a jeun	0.0
a l'instar	0.0
a posteriori	0.14
a priori	2.57
a priori	0.47
aa	0.0
ab absurdo	0.07
ab initio	0.07
ab ovo	0.27
abaca	0.0
abaissa	2.64
abaissai	0.07
abaissaient	0.41
abaissait	2.5
abaissant	0.27
abaissant	2.5
abaissante	0.0
abaisse	0.0
abaisse	3.45
abaisse-langue	0.14
abaissement	2.16
abaissent	0.95
abaisser	2.91
abaissera	0.07
abaisserai	0.07
abaisseraient	0.07
abaisserais	0.0
abaisserait	0.2
abaisses	0.07
abaissez	0.07
abaissons	0.0
abaissèrent	0.41
abaissé	1.35
abaissé	0.2
abaissée	0.27
abaissée	0.2
abaissées	0.0
abaissées	0.27
abaissés	0.07
abaissés	0.07
abalone	0.0
abalones	0.07
abandon	25.2
abandonna	8.92
abandonnai	2.16
abandonnaient	1.55
abandonnais	1.49
abandonnait	9.46
abandonnant	9.93
abandonnas	0.14
abandonne	15.54
abandonnent	2.64
abandonner	27.7
abandonnera	0.81
abandonnerai	0.41
abandonneraient	0.14
abandonnerais	0.27
abandonnerait	0.88
abandonneras	0.2
abandonnerez	0.0
abandonneriez	0.2
abandonnerions	0.0
abandonnerons	0.14
abandonneront	0.27
abandonnes	0.14
abandonneurs	0.07
abandonnez	0.88
abandonniez	0.14
abandonnions	0.54
abandonnique	0.07
abandonnons	0.68
abandonnâmes	0.27
abandonnât	0.34
abandonnèrent	1.42
abandonné	23.92
abandonné	8.45
abandonnée	9.66
abandonnée	8.24
abandonnées	2.7
abandonnées	2.97
abandonnés	4.93
abandonnés	4.73
abandons	2.16
abaque	0.07
abasourdi	2.03
abasourdi	2.09
abasourdie	0.54
abasourdie	0.54
abasourdir	0.14
abasourdis	0.07
abasourdis	0.2
abasourdissant	0.0
abasourdissants	0.07
abat	0.2
abat	4.93
abat-jour	8.24
abat-son	0.27
abatage	0.07
abatis	0.88
abats	0.81
abats	0.54
abattage	1.15
abattages	0.14
abattaient	2.36
abattais	0.27
abattait	3.45
abattant	0.54
abattant	1.96
abattants	0.07
abatte	0.61
abattement	2.36
abattements	0.27
abattent	2.03
abattes	0.0
abatteur	0.2
abatteurs	0.07
abattez	0.0
abattiez	0.0
abattions	0.07
abattirent	0.95
abattis	1.08
abattis	0.27
abattit	5.07
abattoir	2.36
abattoirs	2.3
abattons	0.0
abattra	0.61
abattrai	0.0
abattraient	0.07
abattrais	0.07
abattrait	0.41
abattras	0.0
abattre	14.32
abattrez	0.0
abattriez	0.0
abattrons	0.0
abattront	0.07
abattu	7.43
abattu	3.78
abattu	1.22
abattue	2.43
abattue	1.55
abattues	0.27
abattues	0.68
abattures	0.14
abattus	2.43
abattus	1.08
abattus	0.2
abbatial	0.27
abbatiale	0.27
abbatiale	0.14
abbatiales	0.07
abbaye	3.31
abbayes	0.47
abbesse	0.41
abbesses	0.61
abbé	31.28
abbés	1.22
abc	0.0
abcès	3.31
abdication	1.82
abdications	0.14
abdiqua	0.2
abdiquai	0.07
abdiquaient	0.07
abdiquais	0.14
abdiquait	0.2
abdiquant	0.07
abdique	0.41
abdiquer	0.41
abdiquera	0.07
abdiquerais	0.07
abdiquerait	0.07
abdiquez	0.0
abdiqué	0.95
abdiquée	0.07
abdomen	1.55
abdominal	0.0
abdominale	0.61
abdominales	0.0
abdominaux	0.14
abdominaux	0.68
abdos	0.0
abducteur	0.0
abduction	0.0
abeille	3.18
abeilles	6.69
aber	0.0
aberrant	1.08
aberrant	0.2
aberrante	0.61
aberrantes	0.34
aberrants	0.47
aberration	3.31
aberrations	1.15
abhorrais	0.07
abhorrait	0.68
abhorrant	0.07
abhorre	0.0
abhorrer	0.14
abhorrez	0.0
abhorré	0.27
abhorré	0.2
abhorrée	0.07
abhorrée	0.07
abhorrés	0.07
abject	1.69
abjecte	1.49
abjectement	0.07
abjectes	0.2
abjection	2.16
abjections	0.14
abjects	0.54
abjurant	0.0
abjuration	0.41
abjurations	0.07
abjure	0.14
abjurer	0.68
abjurez	0.0
abjurons	0.07
abjuré	0.41
abkhaze	0.07
ablatif	0.14
ablation	1.28
ablations	0.07
able	0.14
ablette	0.41
ablettes	0.54
ablution	0.14
ablutions	1.42
abnégation	3.58
aboi	0.88
aboie	2.03
aboiement	2.36
aboiements	3.58
aboient	0.81
aboiera	0.0
aboierait	0.07
aboieront	0.07
aboies	0.0
abois	2.7
aboli	1.28
aboli	1.42
abolie	0.61
abolie	0.54
abolies	0.27
abolies	0.34
abolir	2.97
abolira	0.34
abolirait	0.07
aboliras	0.0
abolis	0.41
abolis	0.41
abolissaient	0.41
abolissais	0.07
abolissait	0.74
abolissant	0.54
abolissent	0.14
abolissions	0.07
abolissons	0.0
abolit	1.28
abolition	1.49
abolitionniste	0.0
abolitionniste	0.0
abolitionnistes	0.07
abolitionnistes	0.07
abominable	8.99
abominablement	0.68
abominables	2.23
abominaient	0.07
abomination	3.04
abominations	1.49
abomine	0.41
abominer	0.07
abonda	0.27
abondai	0.07
abondaient	1.42
abondais	0.14
abondait	0.47
abondamment	4.93
abondance	9.39
abondant	1.42
abondant	0.07
abondante	3.45
abondantes	1.22
abondants	0.95
abondassent	0.07
abonde	0.81
abondent	0.47
abonder	0.61
abondé	0.2
abonnai	0.07
abonnant	0.0
abonne	0.07
abonnement	1.55
abonnements	0.07
abonner	0.14
abonnez	0.07
abonnât	0.07
abonné	0.88
abonné	0.0
abonné	0.34
abonnée	0.68
abonnée	0.0
abonnée	0.14
abonnées	0.0
abonnées	0.2
abonnés	0.14
abonnés	0.0
abonnés	1.55
abord	7.3
aborda	3.99
abordable	0.2
abordables	0.0
abordage	1.42
abordages	0.07
abordai	0.61
abordaient	1.28
abordais	0.54
abordait	2.5
abordant	1.42
aborde	2.36
abordent	0.54
aborder	12.91
abordera	0.34
aborderai	0.14
aborderaient	0.07
aborderais	0.07
aborderait	0.14
aborderiez	0.0
aborderions	0.14
aborderons	0.07
aborderont	0.14
abordes	0.07
abordez	0.0
abordiez	0.07
abordions	0.34
abordons	0.41
abords	11.76
abordâmes	0.27
abordèrent	0.68
abordé	2.97
abordé	0.14
abordée	0.54
abordées	0.2
abordées	0.07
abordés	0.41
abordés	0.0
aborigène	0.0
aborigène	0.0
aborigènes	0.07
aborigènes	0.14
abornement	0.07
abortif	0.0
abortive	0.14
abortives	0.2
abouchaient	0.07
abouchais	0.07
abouchait	0.07
abouchant	0.07
abouchements	0.07
aboucher	0.34
abouché	0.07
abouchée	0.07
abouchés	0.07
aboule	0.34
abouler	0.14
aboules	0.0
aboulez	0.14
aboulie	0.14
aboulique	0.07
abouliques	0.14
abounas	0.07
about	0.47
aboutait	0.07
abouti	0.14
abouti	2.84
aboutie	0.07
aboutie	0.0
aboutir	9.8
aboutira	0.41
aboutirai	0.07
aboutiraient	0.14
aboutirais	0.14
aboutirait	0.61
aboutiras	0.07
aboutirent	0.68
aboutirons	0.0
aboutiront	0.27
aboutis	0.0
aboutis	0.34
aboutissaient	1.15
